variant,seed_start,run_id,n_interactions,n_accept,n_reject,accept_ratio,n_success,success_ratio,mean_total_utility,sum_reward,cooperation_rate,seed
neural_marl_social,6000,6,3504,3419,85,0.97574200913242,2481,0.7256507750804329,0.7543288502872877,2574.8003391322363,0.7248095238095238,1400006
neural_marl_social,6000,7,3496,3393,103,0.9705377574370709,2518,0.7421161214264662,0.7599142673488126,2573.239109114521,0.7434571428571428,1400007
neural_marl_social,6000,8,3516,3442,74,0.9789533560864618,2526,0.7338756536897153,0.7550576749659101,2595.208517232663,0.7342095238095238,1400008
neural_marl_social,6000,9,3493,3415,78,0.9776696249642142,2502,0.7326500732064422,0.7548017493206971,2573.7479739301803,0.7321285714285715,1400009
neural_marl_social,9000,0,3498,3281,217,0.9379645511720983,2384,0.7266077415422127,0.7528397862446554,2459.2173386687145,0.7284761904761905,1400000
neural_marl_social,9000,1,3485,3303,182,0.9477761836441894,2399,0.7263094156827127,0.7494622464473435,2466.3738000155754,0.7262809523809524,1400001
neural_marl_social,9000,2,3517,3321,196,0.9442706852431049,2403,0.7235772357723578,0.7545902692485765,2496.1942841745226,0.7239119047619048,1400002
neural_marl_social,9000,3,3461,3250,211,0.9390349609939324,2390,0.7353846153846154,0.758502477609018,2454.5830522293086,0.7353857142857143,1400003
neural_marl_social,9000,4,3516,3358,158,0.9550625711035268,2361,0.7030970815961882,0.7509115726480426,2513.661060952127,0.7019380952380952,1400004
neural_marl_social,9000,5,3502,3325,177,0.9494574528840662,2413,0.7257142857142858,0.756176488819414,2505.4368253245516,0.7266857142857143,1400005
neural_marl_social,9000,6,3498,3344,154,0.9559748427672956,2435,0.7281698564593302,0.7564293583480453,2521.7997743158635,0.7281333333333333,1400006
neural_marl_social,9000,7,3514,3378,136,0.9612976664769494,2472,0.7317939609236235,0.7594796703164937,2558.7223263291153,0.7331452380952381,1400007
neural_marl_social,9000,8,3529,3343,186,0.9472938509492774,2394,0.7161232425964702,0.7521721878113248,2505.2116238532585,0.7167880952380953,1400008
neural_marl_social,9000,9,3512,3346,166,0.9527334851936219,2478,0.7405857740585774,0.7582079621632952,2528.6638413983856,0.7410166666666667,1400009
neural_marl_no_social,3000,0,3497,3497,0,1.0,2429,0.694595367457821,0.8544128759495406,2987.8818271955433,0.6935714285714286,1400000
neural_marl_no_social,3000,1,3472,3472,0,1.0,2418,0.6964285714285714,0.8566397449744458,2974.253194551276,0.6961666666666667,1400001
