ablation_variant,load_level,run_id,seed,generated_tasks,completed_tasks,attempted_interactions,successful_cooperations,failed_interactions,blocked_privacy_interactions,cooperation_rate,task_completion_ratio,reliability_score,resource_efficiency,fairness_index,trust_stability_index,privacy_exposure_risk,candidate_privacy_risk,accepted_privacy_exposure,avg_trust,trust_variance,avg_preference,avg_reciprocity,avg_privacy_risk,avg_total_utility,avg_system_utility,avg_social_utility,avg_resource_utility,avg_privacy_utility,avg_incentive_utility,energy_consumed,bandwidth_consumed,compute_consumed,throughput_mbps,packet_delivery_ratio,e2e_delay_ms,active_nodes
full_proposed,extreme,26,1026,10.448000,6.018000,9.320000,6.018000,3.302000,1.058000,0.647509,0.575776,0.579294,0.555918,0.915474,0.695304,0.514276,0.580089,0.514276,0.439664,0.076174,0.552702,0.522019,0.453198,0.715181,0.697083,0.689340,0.977865,0.485724,0.746573,0.093108,0.450912,0.608057,48.144000,0.647509,96.097706,49.342000
full_proposed,extreme,27,1027,10.420000,6.132000,9.660000,6.132000,3.528000,0.680000,0.635620,0.588382,0.592771,0.567390,0.924940,0.695622,0.531641,0.583104,0.531641,0.440600,0.076094,0.556756,0.533617,0.488585,0.708233,0.694083,0.679960,0.977775,0.468359,0.739846,0.097374,0.473790,0.627202,49.056000,0.635620,95.770423,49.094000
full_proposed,extreme,28,1028,10.536000,6.042000,9.272000,6.042000,3.230000,1.186000,0.650803,0.573785,0.577568,0.553935,0.931836,0.692394,0.523294,0.583156,0.523294,0.445139,0.076902,0.564713,0.572369,0.454067,0.714594,0.697936,0.690320,0.977604,0.476706,0.749602,0.094222,0.456702,0.607480,48.336000,0.650803,96.163343,49.396000
full_proposed,extreme,29,1029,10.466000,6.272000,9.562000,6.272000,3.290000,0.854000,0.656140,0.599624,0.602198,0.578539,0.921997,0.696487,0.527283,0.584375,0.527283,0.437116,0.075878,0.555731,0.533714,0.477776,0.714447,0.696854,0.692485,0.977866,0.472717,0.751361,0.096587,0.468285,0.613923,50.176000,0.656140,97.426769,49.372000
full_proposed,extreme,30,1030,10.520000,5.962000,9.278000,5.962000,3.316000,1.170000,0.642482,0.565575,0.569078,0.546169,0.924154,0.696134,0.513908,0.579897,0.513908,0.441502,0.075967,0.560376,0.553446,0.447650,0.714419,0.697526,0.685740,0.977882,0.486092,0.745677,0.093276,0.454446,0.598434,47.696000,0.642482,95.976548,49.294000
full_proposed,extreme,31,1031,10.438000,6.184000,9.514000,6.184000,3.330000,0.840000,0.649526,0.591993,0.596704,0.570990,0.929566,0.692369,0.532020,0.583618,0.532020,0.448039,0.076908,0.564877,0.557460,0.479065,0.712870,0.697316,0.689685,0.977714,0.467980,0.749756,0.095565,0.467694,0.620313,49.472000,0.649526,95.897587,49.490000
full_proposed,extreme,32,1032,10.512000,6.304000,9.656000,6.304000,3.352000,0.792000,0.650122,0.599128,0.602819,0.577942,0.933221,0.689625,0.523611,0.580730,0.523611,0.450044,0.077594,0.566937,0.552767,0.476279,0.715942,0.696606,0.694811,0.977884,0.476389,0.753952,0.096991,0.467230,0.626397,50.432000,0.650122,96.264297,49.366000
full_proposed,extreme,33,1033,10.500000,5.868000,9.048000,5.868000,3.180000,1.376000,0.649880,0.558688,0.562460,0.539880,0.920567,0.692886,0.517411,0.583882,0.517411,0.438865,0.076779,0.559644,0.547615,0.438714,0.714572,0.698108,0.687315,0.977756,0.482589,0.747158,0.091282,0.442347,0.589705,46.944000,0.649880,96.621526,49.366000
full_proposed,extreme,34,1034,10.516000,5.896000,9.206000,5.896000,3.310000,1.200000,0.641127,0.560936,0.566652,0.541769,0.927210,0.679890,0.519339,0.581107,0.519339,0.453062,0.080028,0.570578,0.562144,0.448252,0.712198,0.694908,0.683930,0.977767,0.480661,0.744670,0.092338,0.451363,0.597415,47.168000,0.641127,96.626896,49.180000
full_proposed,extreme,35,1035,10.500000,6.214000,9.410000,6.214000,3.196000,1.022000,0.660554,0.592134,0.595821,0.571691,0.919437,0.681592,0.514025,0.575689,0.514025,0.458283,0.079602,0.572585,0.576965,0.455129,0.718285,0.696712,0.697437,0.977927,0.485975,0.754705,0.094740,0.456293,0.607228,49.712000,0.660554,96.955984,49.340000
