load_level,ablation_variant,metric,mean,std,count,ci95_low,ci95_high
extreme,without_incentive,compute_consumed,0.598152,0.011875,50,0.594861,0.601444
extreme,without_incentive,throughput_mbps,47.940800,1.018635,50,47.658449,48.223151
extreme,without_incentive,packet_delivery_ratio,0.651203,0.007605,50,0.649096,0.653311
extreme,without_incentive,e2e_delay_ms,96.322924,0.492839,50,96.186316,96.459533
extreme,without_incentive,active_nodes,49.247240,0.229272,50,49.183689,49.310791
high,without_incentive,generated_tasks,6.997440,0.037090,50,6.987159,7.007721
high,without_incentive,completed_tasks,4.789480,0.081743,50,4.766822,4.812138
high,without_incentive,attempted_interactions,6.593400,0.084532,50,6.569969,6.616831
high,without_incentive,successful_cooperations,4.789480,0.081743,50,4.766822,4.812138
high,without_incentive,failed_interactions,1.803920,0.059287,50,1.787487,1.820353
high,without_incentive,blocked_privacy_interactions,0.403360,0.077328,50,0.381926,0.424794
high,without_incentive,cooperation_rate,0.726254,0.008391,50,0.723928,0.728580
high,without_incentive,task_completion_ratio,0.684456,0.011555,50,0.681253,0.687659
high,without_incentive,reliability_score,0.684517,0.011521,50,0.681324,0.687711
high,without_incentive,resource_efficiency,0.664131,0.011107,50,0.661053,0.667210
high,without_incentive,fairness_index,0.864847,0.013864,50,0.861004,0.868690
high,without_incentive,trust_stability_index,0.703737,0.005892,50,0.702104,0.705370
high,without_incentive,privacy_exposure_risk,0.472620,0.006140,50,0.470918,0.474322
high,without_incentive,candidate_privacy_risk,0.545937,0.003760,50,0.544895,0.546979
high,without_incentive,accepted_privacy_exposure,0.472620,0.006140,50,0.470918,0.474322
high,without_incentive,avg_trust,0.474716,0.008067,50,0.472480,0.476952
high,without_incentive,trust_variance,0.074066,0.001473,50,0.073657,0.074474
high,without_incentive,avg_preference,0.579892,0.005496,50,0.578368,0.581416
high,without_incentive,avg_reciprocity,0.614459,0.013920,50,0.610600,0.618317
high,without_incentive,avg_privacy_risk,0.441435,0.007879,50,0.439251,0.443619
high,without_incentive,avg_total_utility,0.704691,0.001998,50,0.704137,0.705245
high,without_incentive,avg_system_utility,0.749817,0.001733,50,0.749336,0.750297
high,without_incentive,avg_social_utility,0.726921,0.005126,50,0.725500,0.728342
high,without_incentive,avg_resource_utility,0.981841,0.000089,50,0.981817,0.981866
high,without_incentive,avg_privacy_utility,0.527380,0.006140,50,0.525678,0.529082
high,without_incentive,avg_incentive_utility,0.500000,0.000000,50,0.500000,0.500000
high,without_incentive,energy_consumed,0.060909,0.000820,50,0.060681,0.061136
high,without_incentive,bandwidth_consumed,0.258632,0.003534,50,0.257653,0.259612
high,without_incentive,compute_consumed,0.345107,0.004661,50,0.343815,0.346399
high,without_incentive,throughput_mbps,38.315840,0.653944,50,38.134576,38.497104
high,without_incentive,packet_delivery_ratio,0.726254,0.008391,50,0.723928,0.728580
high,without_incentive,e2e_delay_ms,96.382024,0.606285,50,96.213971,96.550078
high,without_incentive,active_nodes,49.992960,0.011294,50,49.989830,49.996090
low,without_incentive,generated_tasks,1.494960,0.020656,50,1.489235,1.500685
low,without_incentive,completed_tasks,1.226640,0.030255,50,1.218254,1.235026
low,without_incentive,attempted_interactions,1.494440,0.020750,50,1.488688,1.500192
low,without_incentive,successful_cooperations,1.226640,0.030255,50,1.218254,1.235026
low,without_incentive,failed_interactions,0.267800,0.021179,50,0.261930,0.273670
low,without_incentive,blocked_privacy_interactions,0.000520,0.000974,50,0.000250,0.000790
low,without_incentive,cooperation_rate,0.821580,0.016321,50,0.817056,0.826104
low,without_incentive,task_completion_ratio,0.821420,0.016302,50,0.816901,0.825939
