node_count,run_id,seed,steps,load_level,baseline_name,initialization_wall_seconds,simulation_wall_seconds,simulation_cpu_seconds,wall_ms_per_step,cpu_ms_per_step,peak_rss_mib,initial_mean_degree,final_mean_degree,generated_tasks_per_step,attempted_interactions_per_step,cooperation_rate,task_completion_ratio,final_active_nodes,python_version,platform
50,12,7012,500,high,proposed,0.000545292001334019,1.2841931660077535,1.282635,2.568386332015507,2.56527,145.1875,4.0,4.32,6.988,6.624,0.7466787439613527,0.707784773898111,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,13,7013,500,high,proposed,0.0005546669999603182,1.3282341250014724,1.326632,2.656468250002945,2.653264,144.453125,4.0,4.56,7.014,6.694,0.7245294293397072,0.6914741944682065,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,14,7014,500,high,proposed,0.0005760829953942448,1.3401394999964396,1.338887,2.680278999992879,2.677774,146.234375,4.0,4.52,6.988,6.696,0.7246117084826762,0.6943331425300515,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,15,7015,500,high,proposed,0.0005975410022074357,1.3059130830079084,1.304141,2.611826166015817,2.608282,145.015625,4.0,4.32,7.026,6.798,0.7375698734922036,0.7136350697409621,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,16,7016,500,high,proposed,0.0006351659976644441,1.286782166993362,1.2858109999999998,2.573564333986724,2.5716219999999996,145.375,4.0,4.48,6.968,6.722,0.7337102052960428,0.7078071182548794,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,17,7017,500,high,proposed,0.000519374996656552,1.3402070840093074,1.330775,2.680414168018615,2.66155,146.09375,4.0,4.44,6.98,6.628,0.716053108026554,0.6799426934097421,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,18,7018,500,high,proposed,0.0005349590064724907,1.3047395829926245,1.3025509999999998,2.609479165985249,2.6051019999999996,144.9375,4.0,4.76,6.944,6.52,0.7067484662576687,0.663594470046083,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,19,7019,500,high,proposed,0.0005282080092001706,1.3388762499962468,1.330934,2.6777524999924935,2.661868,146.359375,4.0,4.12,6.954,6.642,0.7196627521830774,0.6873741731377624,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
100,0,7000,500,high,proposed,0.0009232919983332977,2.206355665999581,2.1987629999999996,4.412711331999162,4.397525999999999,145.859375,4.0,4.68,6.958,6.92,0.7517341040462427,0.7476286289163553,100,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
100,1,7001,500,high,proposed,0.0008957090030889958,2.166124833995127,2.1585550000000002,4.332249667990254,4.3171100000000004,146.34375,4.0,4.34,6.936,6.886,0.7295962823119373,0.7243367935409458,100,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
