family,load_level,attack,attacker_fraction,focal,comparator,n_pairs,mean_focal,mean_comparator,mean_difference,median_difference,ci95_low,ci95_high,t_statistic,p_raw,cohens_dz,common_language_probability,p_holm,q_bh,holm_significant_0_05,bh_significant_0_05,relative_difference_pct
benign,low,none,0.0,proposed,honesty_based_social,100,0.8192099999999998,0.7821800000000002,0.03702999999999996,0.03649999999999998,0.0349349455780609,0.03912505442193902,35.0709523093153,1.2285818004883024e-57,3.50709523093153,1.0,1.8428727007324536e-56,2.457163600976605e-57,True,True,4.734204403078569
benign,low,none,0.0,proposed,nitti_subjective_trust,100,0.8192099999999998,0.73264,0.08657,0.08799999999999997,0.08408414241588508,0.08905585758411491,69.10036302823684,1.3855374736715638e-85,6.910036302823684,1.0,3.325289936811753e-84,7.759009852560758e-85,True,True,11.816171653199389
benign,low,none,0.0,proposed,non_agentic_static,100,0.8192099999999998,0.65685,0.16235999999999995,0.16149999999999998,0.15962996382321237,0.16509003617678752,118.00483341530408,2.618790666465507e-108,11.800483341530407,1.0,6.546976666163768e-107,1.833153466525855e-107,True,True,24.717972139757926
benign,low,none,0.0,proposed,standard_marl_no_social,100,0.8192099999999998,0.7735999999999998,0.045609999999999956,0.046499999999999986,0.04356228301763575,0.047657716982364165,44.195626613092216,5.521443236512312e-67,4.419562661309222,1.0,9.386453502070931e-66,1.288336755186206e-66,True,True,5.895811789038258
benign,low,none,0.0,proposed,trust_unaware,100,0.8192099999999998,0.7507199999999998,0.06848999999999998,0.06999999999999995,0.06600778624117849,0.07097221375882147,54.74912002690527,7.870429023034928e-76,5.474912002690527,1.0,1.5740858046069856e-74,2.448577918277533e-75,True,True,9.12324168797954
benign,medium,none,0.0,proposed,game_theoretic_social,100,0.7806842999999998,0.7589923500000001,0.021691950000000005,0.019766500000000076,0.019119141118876706,0.024264758881123304,16.729394561236468,1.3056006499707344e-30,1.6729394561236466,0.96,1.0444805199765875e-29,1.740800866627646e-30,True,True,2.8579932327381172
benign,medium,none,0.0,proposed,greedy_utility,100,0.7806842999999998,0.7696823399999998,0.011001960000000003,0.00938300000000003,0.008739368113678803,0.013264551886321203,9.648348721063456,6.401045521465866e-16,0.9648348721063457,0.84,1.92031365643976e-15,6.893433638501703e-16,True,True,1.4294156729645124
benign,medium,none,0.0,proposed,honesty_based_social,100,0.7806842999999998,0.7412246799999999,0.03945962,0.03720000000000001,0.036927997827897185,0.041991242172102816,30.927382359794937,1.1134406831164953e-52,3.092738235979494,1.0,1.2247847514281449e-51,1.732018840403437e-52,True,True,5.32357071542734
benign,medium,none,0.0,proposed,nitti_subjective_trust,100,0.7806842999999998,0.69893233,0.08175197000000001,0.07996600000000004,0.0792462123512848,0.08425772764871521,64.73636617761387,7.696924589676367e-83,6.473636617761387,1.0,1.7702926556255645e-81,3.591898141848971e-82,True,True,11.696693154829454
benign,medium,none,0.0,proposed,non_agentic_static,100,0.7806842999999998,0.6200429900000001,0.16064131,0.16019999999999995,0.15807074181221864,0.16321187818778138,123.99873768847871,2.0047085208499017e-110,12.399873768847872,1.0,5.2122421542097445e-109,1.8710612861265748e-109,True,True,25.908092275988796
benign,medium,none,0.0,proposed,standard_marl_no_social,100,0.7806842999999998,0.74007767,0.04060662999999999,0.038916499999999965,0.038237799013721874,0.04297546098627811,34.01355523442891,2.0219898680542736e-56,3.4013555234428905,1.0,2.8307858152759832e-55,3.7743810870346443e-56,True,True,5.486806540183815
benign,medium,none,0.0,proposed,trust_unaware,100,0.7806842999999998,0.7158746800000002,0.06480962,0.06558349999999996,0.062450995035793315,0.06716824496420669,54.52174405909714,1.1728547959483156e-75,5.452174405909713,1.0,2.2284241123017998e-74,3.2839934286552835e-75,True,True,9.053207469217934
