model,attack,fraction,defense,load,run_id,adaptive_mu,generated_tasks,completed_tasks,attempted_interactions,successful_cooperations,failed_interactions,blocked_privacy_interactions,cooperation_rate,task_completion_ratio,reliability_score,resource_efficiency,fairness_index,trust_stability_index,privacy_exposure_risk,candidate_privacy_risk,accepted_privacy_exposure,avg_trust,trust_variance,avg_preference,avg_reciprocity,avg_privacy_risk,avg_total_utility,avg_system_utility,avg_social_utility,avg_resource_utility,avg_privacy_utility,avg_incentive_utility,energy_consumed,bandwidth_consumed,compute_consumed,throughput_mbps,packet_delivery_ratio,e2e_delay_ms,active_nodes,reputation_honest,reputation_attacker,reputation_separation,attacker_defection_rate,whitewash_events,decision_distortion,decision_distortion_evidenced,decision_distortion_counterfactual,decision_distortion_counterfactual_evidenced
greedy_utility,bad_mouthing,0.1,True,high,27,True,7.018000,5.034000,7.018000,5.034000,1.984000,0.000000,0.716202,0.716202,0.716202,0.693819,0.922567,0.739695,0.500000,0.500000,0.500000,0.616254,0.065076,0.661541,0.703279,0.500000,0.806638,0.751450,0.625370,0.981793,0.500000,0.601561,0.065153,0.274084,0.370802,40.272000,0.716202,97.071975,50.000000,0.725296,0.843222,-0.117927,0.000000,0.000000,0.079214,0.061903,0.089505,0.080596
greedy_utility,bad_mouthing,0.1,True,high,28,True,7.028000,5.038000,7.028000,5.038000,1.990000,0.000000,0.716512,0.716512,0.716512,0.694230,0.929876,0.741436,0.500000,0.500000,0.500000,0.611742,0.064641,0.656576,0.696441,0.500000,0.803364,0.748465,0.621458,0.981857,0.500000,0.601238,0.064452,0.274616,0.369324,40.304000,0.716512,95.910417,50.000000,0.709437,0.818725,-0.109288,0.000000,0.000000,0.087984,0.075158,0.099857,0.096530
greedy_utility,bad_mouthing,0.1,True,high,29,True,7.024000,5.134000,7.024000,5.134000,1.890000,0.000000,0.732452,0.732452,0.732452,0.709593,0.913258,0.742381,0.500000,0.500000,0.500000,0.618613,0.064405,0.661459,0.693610,0.500000,0.803043,0.747851,0.621020,0.981792,0.500000,0.601080,0.064986,0.275073,0.370629,41.072000,0.732452,96.741183,50.000000,0.752242,0.856543,-0.104301,0.000000,0.000000,0.084504,0.057473,0.093717,0.076091
greedy_utility,bad_mouthing,0.1,True,high,3,True,6.940000,5.048000,6.940000,5.048000,1.892000,0.000000,0.727869,0.727869,0.727869,0.705164,0.931491,0.760803,0.500000,0.500000,0.500000,0.635029,0.059799,0.672993,0.720486,0.500000,0.805257,0.750339,0.623092,0.981812,0.500000,0.601477,0.063955,0.274983,0.361195,40.384000,0.727869,96.240617,50.000000,0.700792,0.751980,-0.051188,0.000000,0.000000,0.080627,0.063428,0.090663,0.081557
greedy_utility,bad_mouthing,0.1,True,high,30,True,6.996000,5.184000,6.996000,5.184000,1.812000,0.000000,0.742345,0.742345,0.742345,0.719148,0.925235,0.748897,0.500000,0.500000,0.500000,0.625234,0.062776,0.664692,0.705544,0.500000,0.806274,0.750874,0.624407,0.981767,0.500000,0.601433,0.065170,0.274956,0.368432,41.472000,0.742345,97.168547,50.000000,0.702438,0.814823,-0.112385,0.000000,0.000000,0.080003,0.060405,0.089521,0.078603
greedy_utility,bad_mouthing,0.1,True,high,31,True,6.994000,5.108000,6.994000,5.108000,1.886000,0.000000,0.730048,0.730048,0.730048,0.707319,0.917165,0.756353,0.500000,0.500000,0.500000,0.641940,0.060912,0.677621,0.725077,0.500000,0.805341,0.750142,0.622810,0.981872,0.500000,0.601398,0.065054,0.273385,0.365670,40.864000,0.730048,96.767386,50.000000,0.738774,0.844994,-0.106220,0.000000,0.000000,0.077618,0.058973,0.085825,0.073397
greedy_utility,bad_mouthing,0.1,True,high,32,True,7.038000,5.100000,7.038000,5.100000,1.938000,0.000000,0.723774,0.723774,0.723774,0.701162,0.931690,0.747382,0.500000,0.500000,0.500000,0.618903,0.063154,0.659078,0.698793,0.500000,0.806761,0.750987,0.625179,0.981758,0.500000,0.601363,0.065382,0.280025,0.366384,40.800000,0.723774,97.967001,50.000000,0.731200,0.700136,0.031064,0.000000,0.000000,0.079657,0.064436,0.090571,0.082172
greedy_utility,bad_mouthing,0.1,True,high,33,True,7.024000,5.060000,7.024000,5.060000,1.964000,0.000000,0.720905,0.720905,0.720905,0.698457,0.934438,0.733616,0.500000,0.500000,0.500000,0.620707,0.066596,0.663077,0.696268,0.500000,0.803975,0.748706,0.622151,0.981806,0.500000,0.601180,0.065228,0.276240,0.367363,40.480000,0.720905,96.676391,50.000000,0.711225,0.846340,-0.135115,0.000000,0.000000,0.078819,0.066587,0.089087,0.082790
greedy_utility,bad_mouthing,0.1,True,high,34,True,7.034000,5.092000,7.034000,5.092000,1.942000,0.000000,0.723774,0.723774,0.723774,0.701276,0.933410,0.754988,0.500000,0.500000,0.500000,0.632554,0.061253,0.670272,0.706391,0.500000,0.803715,0.748832,0.621635,0.981863,0.500000,0.601292,0.064963,0.276004,0.366585,40.736000,0.723774,95.544909,50.000000,0.762051,0.680068,0.081983,0.000000,0.000000,0.074597,0.052955,0.082964,0.068138
greedy_utility,bad_mouthing,0.1,True,high,35,True,6.968000,5.074000,6.968000,5.074000,1.894000,0.000000,0.727607,0.727607,0.727607,0.704669,0.926678,0.748354,0.500000,0.500000,0.500000,0.636292,0.062911,0.671077,0.706962,0.500000,0.803637,0.747773,0.623006,0.981633,0.500000,0.600894,0.065162,0.275056,0.369739,40.592000,0.727607,98.306689,50.000000,0.703733,0.840167,-0.136434,0.000000,0.000000,0.078068,0.064105,0.088654,0.080651
